user_input_text,Priority,category,sub_category,auto_resolve,assigned_team
user_input_text+A2,medium,Network,Network Connectivity,FALSE,Network Support
"I am reaching out to learn more about the scalability features of your project management SaaS solution. Could you provide detailed information on how the solution adapts to growing teams and increasing project complexity? I would greatly appreciate any information you can share, including relevant case studies and whitepapers. for your time and assistance. I look forward to hearing from you soon.",medium,Software,Software Support,FALSE,Application Support
"Currently experiencing i am writing to request your assistance with optimizing our cloud infrastructure costs and enabling efficient cloud service management in our aws account. we have been analyzing our expenses and noticed a need for better cost management. the product we are using is aws management service. could you please provide guidance or resources to help us achieve this? we are eager to implement strategies that will enhance our operational efficiency and reduce unnecessary costs.for your support. we look forward to your prompt response.best regards, nametel_numacc_num. Kindly look into this.",medium,Access,Access Request,TRUE,IAM Support
"I am writing to inquire about the integrations of Evernote with other software and products. Could you provide a list of compatible applications and services? Additionally, I would appreciate any details on the integration process and any potential limitations. for your time and assistance. I look forward to your response.",medium,Software,Software Support,FALSE,Application Support
"I am reporting an issue with the marketing agency platform related to report creation. The platform is loading slowly, possibly due to recent software updates. Despite clearing the cache and restarting devices, the problem remains unresolved. The sluggish performance is hindering our team's productivity and ability to meet deadlines. We kindly ask for an urgent investigation into this matter and a prompt solution to resolve the issue. for your quick attention to this matter.",medium,Software,Software Support,FALSE,Application Support
"I am writing to report frequent network dropouts with our Cisco Router ISR4331, significantly affecting enterprise performance and secure connections. These disruptions are impacting our daily operations and secure communications. Please advise on possible solutions or next steps to resolve these issues.Looking forward to your prompt response.Best regards,nameyour_company",high,Network,Network Connectivity,FALSE,Network Support
"an incident has been reported that may involve a potential data breach affecting the security of medical data. The issue could be due to outdated security protocols and software vulnerabilities. Initial efforts to resolve the issue included system diagnostics, software updates, and checking firewall configurations. We need your assistance to ensure the security of sensitive medical information. Please provide us with the details at your earliest convenience, and we can discuss further steps during a call at <tel_num>. Your account number is <acc_num>.",high,Access,Access Request,TRUE,IAM Support
"the investment optimization system used by our financial firm unexpectedly crashed. This may have been triggered by recent software updates causing data overload. We have restarted the affected devices, verified network connectivity, and optimized data flow, but the system continues to be unstable. We are worried about potential data loss and financial impact due to the downtime. We kindly request your prompt assistance in resolving this issue. Please advise us on the next steps.",high,Network,Network Connectivity,FALSE,Network Support
"Customer Support,I am writing to report ongoing connection issues with Zoom 5.11.0 on my system. During video conferences, I frequently experience intermittent audio cuts, which significantly disrupt communication. My internet connection appears stable, so I suspect there might be a compatibility or software glitch causing this problem. Please provide guidance on troubleshooting this issue or if there are updates available that address these connectivity concerns. Any assistance you can offer would be greatly appreciated.for your prompt attention.Best regards,name",medium,Network,Network Connectivity,FALSE,Network Support
Noted unauthorized access attempts on medical data systems due to outdated security protocols.,high,Access,Access Request,TRUE,IAM Support
"I am reaching out to seek the system requirements needed for integrating JIRA with your project management software. Could you kindly share the necessary details, including compatible operating systems, browser specifications, and any other pertinent information? It would also be beneficial if you could provide specific configuration and setup guidelines. This information will assist in achieving a seamless integration and ensuring optimal performance. I appreciate your help and look forward to your response at your earliest convenience.",high,Software,Software Support,FALSE,Application Support
