user_input_text,category,sub_category,priority,auto_resolve,assigned_team
password reset link working showing expired error since morning asap.,Access,Password Reset,High,FALSE,IAM Team
login session expiring immediately signing update urgent.,Access,Login Failure,High,FALSE,IAM Team
issue credential manager saving login information reboot urgent.,Access,Login Failure,High,TRUE,IAM Team
account lock hoye geche,Access,Access Request,Low,FALSE,IAM Team
getting installation package could opened error since last week urgent.,Software,Software Install,Medium,FALSE,Application Support
file version history showing previous versions reboot need help quickly.,Software,Data Loss,Critical,FALSE,Application Support
system thermal warning appearing frequently since morning,Hardware,Overheating,Medium,TRUE,Hardware Support
access required new team collaboration tools update urgent.,Access,Access Request,Low,FALSE,IAM Team
help share permissions allowing write access since last week fix this.,Access,Permission Issue,High,FALSE,IAM Team
power supply unit seems to failed afternoon need help quickly.,Hardware,Hardware Failure,Critical,FALSE,Hardware Support
domain name resolution failing intermittently urgently needed,Network,DNS Problem,Critical,FALSE,Network Support
help outlook keeps crashing try to open emails help asap.,Software,Application Crash,High,FALSE,Application Support
team bandwidth seems throttled slow response times afternoon,Network,Internet Slow,Medium,FALSE,Network Support
help keyboard keys working properly keys stuck since last week assist.,Hardware,Keyboard/Mouse,Low,FALSE,Hardware Support
teamviewer connection failing timeout error affecting work,Network,Remote Access,Low,FALSE,Network Support
multi-factor authentication keeps failing repeatedly afternoon need help quickly.,Access,MFA Problem,Medium,FALSE,IAM Team
issue sms two-factor codes delivered urgently needed asap.,Access,MFA Problem,Medium,FALSE,IAM Team
dns server responding error browsers affecting work,Network,DNS Problem,Medium,FALSE,Network Support
wifi connect avvatledu,Network,DNS Problem,Medium,TRUE,Network Support
smart card authentication failing login since yesterday,Access,Login Failure,High,FALSE,IAM Team
network card detected device manager afternoon,Hardware,Hardware Failure,Critical,FALSE,Hardware Support
update history showing failed installations afternoon need help quickly.,Software,Update Problem,Medium,TRUE,Application Support
teams application keeps closing randomly urgently needed assist.,Software,Application Crash,High,FALSE,Application Support
issue internal sites accessible name,Network,DNS Problem,High,FALSE,Network Support
team laptop booting stuck black screen today fix this.,Hardware,Laptop Issue,Medium,TRUE,Hardware Support
support team remote access session keeps getting disconnected afternoon assist.,Network,Remote Access,High,FALSE,Network Support
team browser extension incompatible current chrome version since morning urgent.,Software,Compatibility,Low,FALSE,Application Support
graphics card failure causing display artifacts since morning fix this.,Hardware,Hardware Failure,Critical,FALSE,Hardware Support
help remote access session keeps getting disconnected affecting work assist.,Network,Remote Access,Critical,FALSE,Network Support
ini configuration file incorrect parameters affecting work,Software,Configuration,Low,FALSE,Application Support
unable to establish secure connection to corporate vpn update thanks.,Network,VPN Connection,High,FALSE,Network Support
getting account expired message trying to login assist.,Access,Account Expired,Low,FALSE,IAM Team
support team getting limited connectivity error wifi since morning help urgent.,Network,WiFi Issue,Medium,FALSE,Network Support
laptop charging battery icon shows red afternoon asap.,Hardware,Battery Issue,Low,FALSE,Hardware Support
issue internal sites accessible name affecting work assist.,Network,DNS Problem,Medium,FALSE,Network Support
wifi connect hocche na,Network,Remote Access,Low,FALSE,Network Support
network traffic dropped security firewall help assist.,Network,Firewall Block,High,TRUE,Network Support
heat sink seems clogged dust today thanks.,Hardware,Overheating,Medium,TRUE,Hardware Support
application requiring older framework version affecting work fix this.,Software,Compatibility,High,FALSE,Application Support
dns lookup taking long causing delays need assistance need help quickly.,Network,DNS Problem,High,FALSE,Network Support
support team getting account expired message trying to login affecting work asap.,Access,Account Expired,High,TRUE,IAM Team
support team cumulative update failing to install windows affecting work,Software,Update Problem,Medium,FALSE,Application Support
proxy settings application need to configured since morning assist.,Software,Configuration,Low,FALSE,Application Support
support team corporate firewall preventing software update download urgently needed,Network,Firewall Block,Critical,FALSE,Network Support
issue cannot connect to office desktop from home via remote desktop shift,Network,Remote Access,Low,FALSE,Network Support
cannot install new software package getting error 1603 affecting work assist.,Software,Software Install,Medium,FALSE,Application Support
team role-based security groups need updating help need help quickly.,Access,Role Change,Low,TRUE,IAM Team
